,Target Accession,Same Species,Same Genus,Same Family,Same Order,Same Class,Same Phylum,Same Kingdom,Other Kingdom
Colletotrichum graminicola 1,GCA_026652225.1,GCA_026652245.1,GCA_038023885.1,,GCA_000952015.1,GCA_009297425.1,GCA_003707215.2,GCA_000931965.1,GCA_023334215.1
Colletotrichum graminicola 2,GCA_026652245.1,GCA_026652265.1,GCA_025328335.1,,GCA_034408665.1,GCA_040113465.1,GCA_023625675.1,GCA_038093755.1,GCA_009733105.1
Colletotrichum graminicola 3,GCA_026652265.1,GCA_026652275.1,GCA_946151405.1,,GCA_020726535.1,GCA_017656815.1,GCA_009667345.1,GCA_049242505.1,GCA_023334015.1
Colletotrichum graminicola 4,GCA_026652275.1,GCA_026652285.1,GCA_020464265.1,,GCA_002851705.1,GCA_036172685.1,GCA_044231815.1,GCA_011074975.1,GCA_009732985.1
Colletotrichum graminicola 5,GCA_026652285.1,GCA_026652305.1,GCA_000446055.1,,GCA_018440655.1,GCA_000347355.1,,GCA_905071755.1,GCA_023334975.1
Colletotrichum graminicola 6,GCA_026652305.1,GCA_026652315.1,GCA_027406005.1,,GCA_024085535.1,GCA_038088555.1,GCA_937857575.1,GCA_011801305.2,GCA_001482985.1
Colletotrichum graminicola 7,GCA_026652315.1,GCA_026652355.1,GCA_026319245.1,,GCA_002851705.1,GCA_030780645.1,GCA_964256705.1,GCA_001969505.1,GCA_023334085.1
Colletotrichum graminicola 8,GCA_026652355.1,GCA_026652695.1,GCA_001855235.1,,GCA_029607795.1,GCA_016163995.1,GCA_024666635.1,GCA_958449755.1,GCA_023333885.1
Colletotrichum graminicola 9,GCA_026652695.1,GCA_026652705.1,GCA_014705195.1,,GCA_011032865.1,GCA_029298735.1,GCA_022345235.1,GCA_003315925.1,GCA_042082905.1
Penicillium salamii 0,GCA_911197225.1,GCA_911174905.1,GCA_028827695.1,GCA_013146165.1,GCA_023623875.1,,GCA_002976015.1,GCA_027600645.1,GCA_008080845.1
Penicillium salamii 1,GCA_911174905.1,GCA_911174925.1,GCA_028829745.1,GCA_009687165.1,GCA_023626115.1,GCA_022831985.1,GCA_049307005.1,GCA_019425655.1,GCA_018292885.1
Penicillium salamii 2,GCA_911174925.1,GCA_911174965.1,GCA_023626935.1,GCA_037127345.1,GCA_037042375.1,GCA_041228675.1,GCA_003705495.1,GCA_037040185.1,GCA_030279085.1
Penicillium salamii 3,GCA_911174965.1,GCA_911175075.1,GCA_902713515.1,GCA_009687565.1,GCA_000001985.1,GCA_046865205.1,GCA_009746055.1,GCA_014805555.1,GCA_949795465.1
Penicillium salamii 4,GCA_911175075.1,GCA_911175095.1,GCA_000577395.2,GCA_009686865.1,GCA_019022425.1,GCA_010883525.1,GCA_017309865.1,GCA_043251785.1,
Penicillium salamii 5,GCA_911175095.1,GCA_911175105.1,GCA_028828795.1,GCA_044232405.1,GCA_013368755.1,GCA_030789285.1,GCA_040938615.1,GCA_027579785.1,GCA_023337825.1
Penicillium salamii 6,GCA_911175105.1,GCA_911175135.1,GCA_023141315.1,GCA_024675505.1,GCA_002916415.1,GCA_001430935.1,GCA_026652275.1,GCA_000258745.1,GCA_000173235.2
Penicillium salamii 7,GCA_911175135.1,GCA_911175275.1,GCA_027569345.1,GCA_024678505.1,GCA_037041395.1,GCA_045862495.1,GCA_002975705.1,GCA_019190765.1,GCA_001573145.1
Penicillium salamii 8,GCA_911175275.1,GCA_911175285.1,GCA_020086695.1,GCA_014250555.1,GCA_023625995.1,GCA_022831985.1,GCA_029989845.1,GCA_003316165.1,GCA_003843895.1
Penicillium salamii 9,GCA_911175285.1,GCA_911197175.1,GCA_023138015.1,GCA_029783905.1,GCA_003990805.1,GCA_910591615.1,GCA_003675535.1,GCA_019908695.1,GCA_021527745.1
Globisporangium irregulare 0,GCA_038051095.1,GCA_004117815.1,GCA_023334115.1,GCA_001922765.1,,GCA_033557915.1,,,GCA_022813335.1
Globisporangium irregulare 1,GCA_004117815.1,GCA_023336235.1,GCA_038050795.1,GCA_023334395.1,,GCA_011320135.1,,,GCA_003270825.1
Globisporangium irregulare 2,GCA_023336235.1,GCA_037965455.1,GCA_023334105.1,GCA_023337495.1,,GCA_012295175.1,,,GCA_011036395.1
Globisporangium irregulare 3,GCA_037965455.1,GCA_038048875.1,GCA_023334035.1,GCA_000387505.2,,,,,GCA_030579775.1
Globisporangium irregulare 4,GCA_038048875.1,GCA_038048945.1,GCA_023335435.1,GCA_023337755.1,,GCA_012552325.1,,,GCA_037672785.1
Globisporangium irregulare 5,GCA_038048945.1,GCA_038050905.1,GCA_038050825.1,GCA_023335885.1,,GCA_000500225.2,,,GCA_030557965.1
Globisporangium irregulare 6,GCA_038050905.1,GCA_038050925.1,GCA_023333795.1,GCA_023336355.1,,GCA_003676415.1,,,GCA_020501765.1
Globisporangium irregulare 7,GCA_038050925.1,GCA_038050935.1,GCA_038050575.1,GCA_001950895.1,,GCA_002025925.1,,,GCA_000734095.1
Globisporangium irregulare 8,GCA_038050935.1,GCA_038050945.1,GCA_006386115.1,GCA_023091665.1,,,,,GCA_023626015.1
Globisporangium irregulare 9,GCA_038050945.1,GCA_038050995.1,GCA_023334155.1,GCA_000387445.2,,GCA_032158065.1,,,GCA_019190625.1
Wallemia ichthyophaga 0,GCA_004917845.1,GCA_004917865.1,GCA_004918925.1,,,,GCA_963855905.1,GCA_037042895.2,GCA_016880985.1
Wallemia ichthyophaga 1,GCA_004917865.1,GCA_004917895.1,GCA_004918915.1,,,,GCA_001264765.1,GCA_019039275.1,GCA_003287315.1
Wallemia ichthyophaga 2,GCA_004917895.1,GCA_004918015.1,GCA_004917925.1,,,,GCA_001691755.2,GCA_023628975.1,GCA_042082685.1
Wallemia ichthyophaga 3,GCA_004918015.1,GCA_004918065.1,GCA_004917965.1,,,,GCA_023079155.1,GCA_004380985.1,GCA_001306755.1
Wallemia ichthyophaga 4,GCA_004918065.1,GCA_004918235.1,GCA_004918075.1,,,,GCA_000271605.1,GCA_027559495.1,
Wallemia ichthyophaga 5,GCA_004918235.1,GCA_004918305.1,GCA_004918985.1,,,,GCA_033032785.1,GCA_038406955.1,GCA_001314375.1
Wallemia ichthyophaga 6,GCA_004918305.1,GCA_004918315.1,GCA_004918835.1,,,,GCA_018849495.1,GCA_003501935.1,GCA_016864655.1
Wallemia ichthyophaga 7,GCA_004918315.1,GCA_004918335.1,GCA_004918805.1,,,,GCA_905219645.1,GCA_011763835.1,GCA_030027945.1
Wallemia ichthyophaga 8,GCA_004918335.1,GCA_004918345.1,GCA_004918725.1,,,,GCA_037040355.1,GCA_040954795.1,GCA_038050905.1
Wallemia ichthyophaga 9,GCA_004918345.1,GCA_004918405.1,GCA_004917975.1,,,,GCA_003313075.1,GCA_947344595.1,GCA_023336255.1
Trichoderma asperellum 0,GCA_000733085.2,GCA_004154885.1,GCA_016806875.1,GCA_036429605.1,GCA_046056315.1,GCA_025330015.1,,GCA_040805055.1,GCA_023335895.1
Trichoderma asperellum 1,GCA_004154885.1,GCA_013423425.1,GCA_026401175.1,GCA_029290895.1,GCA_030780535.1,GCA_028637685.1,GCA_009687445.1,GCA_038091955.1,
Trichoderma asperellum 2,GCA_013423425.1,GCA_014839745.1,GCA_022788495.1,GCA_029290855.1,GCA_011033645.1,GCA_023628475.1,GCA_003690845.1,GCA_014872705.1,GCA_023334545.1
Trichoderma asperellum 3,GCA_014839745.1,GCA_017945965.1,GCA_026401225.1,GCA_003055945.1,GCA_016163805.1,GCA_038407005.1,GCA_040783835.1,GCA_000146465.1,GCA_042082445.1
Trichoderma asperellum 4,GCA_017945965.1,GCA_019481625.1,GCA_020002365.1,GCA_029290855.1,GCA_000956045.1,GCA_953966695.1,GCA_000734875.3,GCA_921037615.3,GCA_000443045.1
Trichoderma asperellum 5,GCA_019481625.1,GCA_019594925.1,GCA_023653515.1,,GCA_016508645.1,GCA_004028395.1,GCA_003277355.1,GCA_041722695.1,GCA_038051075.1
Trichoderma asperellum 6,GCA_019594925.1,GCA_019594945.1,GCA_041053265.1,GCA_003055945.1,GCA_043253965.1,GCA_017589565.1,GCA_047728015.1,GCA_025677835.1,GCA_000468175.2
Trichoderma asperellum 7,GCA_019594945.1,GCA_020647865.1,GCA_019097725.1,GCA_025331125.1,GCA_027571605.1,GCA_000966885.1,GCA_000227075.1,GCA_027248865.1,GCA_002911725.1
Trichoderma asperellum 8,GCA_020647865.1,GCA_020736895.1,GCA_011066345.1,GCA_025331125.1,GCA_018346575.1,GCA_022432365.1,GCA_030563705.1,GCA_000819925.1,GCA_012552325.1
Trichoderma asperellum 9,GCA_020736895.1,GCA_022817925.1,GCA_022813585.1,GCA_036429605.1,GCA_013623845.1,GCA_002925105.1,GCA_047717145.1,GCA_019189995.1,GCA_000468175.2
Zygosaccharomyces pseudobailii 0,GCA_949129085.1,GCA_023629055.1,GCA_000026365.1,GCA_017866385.1,,GCA_003706915.2,GCA_016097325.1,GCA_004325035.1,GCA_900000015.1
Zygosaccharomyces pseudobailii 1,GCA_023629055.1,GCA_030574115.1,GCA_949129995.1,GCA_001737895.1,,GCA_019321675.1,GCA_002740505.1,GCA_001736075.1,GCA_000509505.1
Zygosaccharomyces pseudobailii 2,GCA_030574115.1,GCA_900408955.1,GCA_949129305.1,GCA_949124735.1,,GCA_004919765.1,GCA_029290645.1,GCA_036428525.1,GCA_023334005.1
Zygosaccharomyces pseudobailii 3,GCA_900408955.1,GCA_949129155.1,GCA_949129315.1,GCA_001737625.2,,GCA_031125705.1,GCA_020500785.1,GCA_004918235.1,GCA_042082345.1
Zygosaccharomyces pseudobailii 4,GCA_949129155.1,GCA_949129185.1,GCA_949130035.1,GCA_001741255.1,,GCA_004919945.1,GCA_047717125.1,GCA_000500795.1,GCA_003123765.1
Zygosaccharomyces pseudobailii 5,GCA_949129185.1,GCA_949129195.1,GCA_030580375.1,GCA_000304475.1,,GCA_030572335.1,GCA_022661575.1,GCA_003144125.1,GCA_000333075.3
Zygosaccharomyces pseudobailii 6,GCA_949129195.1,GCA_949129245.1,GCA_949129955.1,GCA_947344745.1,,GCA_030574695.1,,GCA_038092655.1,GCA_004138045.1
Zygosaccharomyces pseudobailii 7,GCA_949129245.1,GCA_949129365.1,GCA_949129165.1,GCA_000976275.4,,GCA_003706705.3,GCA_033439685.1,GCA_027604645.1,GCA_001933405.1
Zygosaccharomyces pseudobailii 8,GCA_949129365.1,GCA_949129375.1,GCA_949129405.1,GCA_000182175.1,,GCA_019321675.1,GCA_003788565.2,GCA_027917475.1,GCA_016864795.1
Zygosaccharomyces pseudobailii 9,GCA_949129375.1,GCA_949129435.1,GCA_949129555.1,GCA_003270305.1,,GCA_031125405.1,GCA_032714815.1,GCA_040804315.1,GCA_023336345.1
Aspergillus tubingensis 0,GCA_010614855.1,GCA_013340325.1,GCA_009687165.1,GCA_028827885.1,GCA_038993655.2,GCA_035928465.1,GCA_013201875.1,GCA_002157025.1,GCA_003546625.1
Aspergillus tubingensis 1,GCA_013340325.1,GCA_019805365.1,,GCA_023626695.1,GCA_023625975.1,GCA_016109625.1,GCA_032358045.1,,GCA_023333845.1
Aspergillus tubingensis 2,GCA_019805365.1,GCA_019827425.1,GCA_042608995.1,GCA_001307865.1,GCA_043882455.1,GCA_029293295.1,GCA_003706035.2,GCA_027576975.1,GCA_024679075.1
Aspergillus tubingensis 3,GCA_019827425.1,GCA_019827445.1,GCA_013146005.1,GCA_911175135.1,GCA_030061005.1,GCA_003868215.1,GCA_009298145.1,GCA_010758995.1,GCA_023337825.1
Aspergillus tubingensis 4,GCA_019827445.1,GCA_019827465.1,GCA_023137765.1,GCA_028828735.1,GCA_023623795.1,GCA_910592065.1,GCA_964256975.1,GCA_029603245.1,GCA_000367145.1
Aspergillus tubingensis 5,GCA_019827465.1,GCA_019827565.1,GCA_009687565.1,GCA_001735785.1,GCA_001305275.1,GCA_022831685.1,GCA_949129245.1,GCA_038091615.1,GCA_013122855.1
Aspergillus tubingensis 6,GCA_019827565.1,GCA_019828785.1,GCA_042608855.1,GCA_002072455.1,GCA_023625875.1,GCA_028025565.1,GCA_000286515.1,GCA_040804935.1,GCA_023338175.1
Aspergillus tubingensis 7,GCA_019828785.1,GCA_027923605.1,GCA_026259865.1,GCA_902713545.1,GCA_030061565.1,GCA_022830245.1,GCA_023089025.1,GCA_033735175.1,GCA_032158065.1
Aspergillus tubingensis 8,GCA_027923605.1,GCA_027923625.1,GCA_039880865.1,GCA_023624435.1,GCA_009556855.1,GCA_000170615.1,GCA_046251155.1,GCA_022505985.1,GCA_000149755.2
Aspergillus tubingensis 9,GCA_027923625.1,GCA_027923665.1,GCA_023619365.1,GCA_023627235.1,GCA_041956655.1,GCA_021030905.1,GCA_048412495.1,GCA_900185085.1,GCA_033558025.1
Orbilia oligospora 0,GCA_004768765.1,GCA_011066565.1,GCA_036971255.1,GCA_047716655.1,,,GCA_040113355.1,GCA_900013405.1,GCA_002980415.1
Orbilia oligospora 1,GCA_011066565.1,GCA_011066575.1,GCA_012184305.1,GCA_036971165.1,,,GCA_001739845.1,GCA_027575355.1,GCA_042082745.1
Orbilia oligospora 2,GCA_011066575.1,GCA_011066585.1,GCA_036872735.1,GCA_020064725.1,,,GCA_030578715.1,GCA_018851325.1,GCA_023336405.1
Orbilia oligospora 3,GCA_011066585.1,GCA_011066595.1,GCA_012184305.1,GCA_003590515.1,,,GCA_012070385.1,GCA_026692725.1,GCA_002968915.1
Orbilia oligospora 4,GCA_011066595.1,GCA_011066605.1,GCA_036872735.1,GCA_040437185.1,,,GCA_949126085.1,GCA_038090215.1,GCA_002215365.1
Orbilia oligospora 5,GCA_011066605.1,GCA_011066695.1,GCA_012184305.1,GCA_020064725.1,,,GCA_000733645.1,GCA_000185945.1,GCA_003546825.1
Orbilia oligospora 6,GCA_011066695.1,GCA_011066715.1,GCA_036971255.1,GCA_036971165.1,,,GCA_000966595.1,GCA_036320835.1,GCA_004117815.1
Orbilia oligospora 7,GCA_011066715.1,GCA_011066735.1,GCA_036872735.1,GCA_036971485.1,,,GCA_002864195.1,GCA_004194325.1,GCA_023334275.1
Orbilia oligospora 8,GCA_011066735.1,GCA_011066745.1,GCA_036872735.1,GCA_020064725.1,,,GCA_000601435.1,GCA_024244115.1,GCA_003546625.1
Orbilia oligospora 9,GCA_011066745.1,GCA_011066795.1,GCA_036971255.1,GCA_036971535.1,,,GCA_009801325.1,GCA_025758705.1,GCA_000764265.1
Debaryomyces hansenii 0,GCA_001682995.1,GCA_003349505.1,GCA_003708665.2,GCA_900004165.1,GCA_046252885.1,GCA_023629215.1,GCA_947344535.1,GCA_023079155.1,GCA_001414265.1
Debaryomyces hansenii 1,GCA_003349505.1,GCA_006942205.1,GCA_030674585.1,GCA_037040715.1,GCA_046134795.1,GCA_040207675.1,GCA_964254895.1,GCA_004918915.1,GCA_023337915.1
Debaryomyces hansenii 2,GCA_006942205.1,GCA_006942215.1,GCA_030583445.1,GCA_020280135.1,GCA_035582505.1,GCA_037040195.1,GCA_013759115.1,GCA_964023155.1,GCA_001314355.1
Debaryomyces hansenii 3,GCA_006942215.1,GCA_006942225.1,GCA_030564605.1,GCA_900232055.1,GCA_023627815.1,GCA_023013825.1,GCA_035928205.1,GCA_015852415.1,GCA_016864755.1
Debaryomyces hansenii 4,GCA_006942225.1,GCA_006942235.1,GCA_003708665.2,GCA_008764215.1,GCA_022058765.1,GCA_001661235.1,GCA_048165025.1,GCA_038502895.1,GCA_000340395.2
Debaryomyces hansenii 5,GCA_006942235.1,GCA_006942305.1,GCA_003708935.1,GCA_046131255.1,GCA_027563715.1,GCA_030559035.1,GCA_023628835.1,GCA_903798065.1,GCA_023611945.1
Debaryomyces hansenii 6,GCA_006942305.1,GCA_006942325.1,GCA_030583545.1,GCA_030582475.1,GCA_047372315.1,GCA_029581905.1,GCA_030569955.1,GCA_001936605.2,GCA_001600475.1
Debaryomyces hansenii 7,GCA_006942325.1,,GCA_030583445.1,GCA_046132055.1,GCA_002374555.1,GCA_019207325.1,GCA_000149895.1,GCA_027605045.1,GCA_000326045.1
Colletotrichum fructicola 0,GCA_002314275.2,GCA_002887685.1,GCA_022179045.1,,GCA_014635965.1,GCA_002234135.1,GCA_030556455.1,GCA_003086725.1,GCA_023335935.1
Colletotrichum fructicola 1,GCA_002887685.1,GCA_009771025.1,GCA_026652705.1,,GCA_000952015.1,GCA_030772775.1,GCA_022813995.1,GCA_040804625.1,GCA_014706135.1
Colletotrichum fructicola 2,GCA_009771025.1,GCA_012932255.1,GCA_014705085.1,,GCA_024085535.1,GCA_025216025.1,,GCA_027604745.1,GCA_023336425.1
Colletotrichum fructicola 3,GCA_012932255.1,GCA_013201875.1,GCA_014235935.1,,GCA_003724135.2,GCA_020882315.1,GCA_030573495.1,GCA_027578315.1,GCA_009848525.1
Colletotrichum fructicola 4,GCA_013201875.1,GCA_013201905.1,GCA_013201755.1,,GCA_018982765.1,GCA_009803485.1,GCA_036370985.1,GCA_000875855.1,GCA_001314435.1
Colletotrichum fructicola 5,GCA_013201905.1,GCA_013201925.1,GCA_025327135.1,,GCA_018140825.1,GCA_030406945.1,GCA_016626105.1,GCA_900208305.1,GCA_023334075.1
Colletotrichum fructicola 6,GCA_013201925.1,GCA_013390205.1,GCA_020464275.1,,GCA_018994095.1,GCA_009298655.1,GCA_002375215.1,GCA_025330725.1,GCA_001314375.1
Colletotrichum fructicola 7,GCA_013390205.1,GCA_014705485.1,GCA_011947485.2,,GCA_043790115.1,GCA_041682635.1,GCA_001576725.1,GCA_024606485.1,GCA_038050795.1
Colletotrichum fructicola 8,GCA_014705485.1,GCA_017589655.1,GCA_001563115.1,,GCA_011032865.1,GCA_011034785.1,GCA_003690685.1,GCA_003054985.1,GCA_013122855.1
Colletotrichum fructicola 9,GCA_017589655.1,GCA_024000835.1,GCA_025327125.1,,GCA_018994105.1,GCA_043176115.1,GCA_001737895.1,GCA_038091055.1,GCA_023333735.1
Rhizopus microsporus 1,GCA_002083735.1,GCA_011762625.1,GCA_011950985.2,GCA_025677835.1,GCA_029851405.1,,GCA_958301795.1,GCA_000213195.1,GCA_021527665.1
Rhizopus microsporus 2,GCA_011762625.1,GCA_011762635.1,GCA_000738605.1,GCA_025677835.1,GCA_000697315.1,,GCA_958449805.1,GCA_003691215.1,GCA_003640465.1
Rhizopus microsporus 3,GCA_011762635.1,GCA_011763475.1,GCA_011801785.2,GCA_025677835.1,GCA_025094145.1,,GCA_963573315.1,GCA_009802435.1,GCA_001950835.1
Rhizopus microsporus 4,GCA_011763475.1,GCA_011763565.1,GCA_048164915.1,GCA_025677835.1,GCA_000696935.1,,GCA_000597685.1,GCA_025768795.1,GCA_023337545.1
Rhizopus microsporus 5,GCA_011763565.1,,GCA_011763915.1,GCA_025677835.1,GCA_040807125.1,,GCA_910592055.1,GCA_025399175.1,GCA_038051095.1
Rhizopus microsporus 7,GCA_019022815.1,GCA_034509365.1,GCA_011800985.2,GCA_025677835.1,GCA_000696975.1,,GCA_958301815.1,GCA_040805155.1,GCA_947646735.1
Rhizopus microsporus 8,GCA_034509365.1,GCA_039881115.1,GCA_011801645.2,GCA_025677835.1,GCA_023630305.1,,GCA_015852425.1,GCA_043174615.1,GCA_023337535.1
Rhizopus microsporus 9,GCA_039881115.1,GCA_046865755.1,GCA_011801645.2,GCA_025677835.1,GCA_025201345.1,,GCA_003833135.1,GCA_000350345.1,GCA_042082605.1
Malassezia furfur 0,GCA_009938135.1,,GCA_038496315.1,,,GCA_937901545.1,GCA_038090635.1,GCA_905114675.1,GCA_003843895.1
Malassezia furfur 4,GCA_001265045.1,,GCA_001278385.1,,,GCA_963379325.1,GCA_001707295.1,GCA_900099275.1,GCA_004359215.2
Malassezia furfur 6,GCA_001265065.1,,GCA_000349305.2,,,,GCA_003316345.1,GCA_000304475.1,GCA_023335535.1
Malassezia furfur 9,GCA_023079105.1,,GCA_038502825.1,,,GCA_963379275.1,GCA_031840785.1,GCA_023628715.1,GCA_030463285.1
Dothistroma septosporum 0,GCA_002236755.2,GCA_002236465.2,GCA_002116355.1,GCA_002994015.1,GCA_024761195.1,GCA_000729945.1,GCA_028637775.1,GCA_905071715.1,GCA_011947355.1
Dothistroma septosporum 1,GCA_002236465.2,GCA_002236475.2,GCA_002116355.1,GCA_040114415.1,GCA_024761675.1,GCA_034508535.1,GCA_003705415.1,GCA_019969295.1,GCA_003843895.1
Dothistroma septosporum 2,GCA_002236475.2,GCA_002236485.2,GCA_002116355.1,GCA_029873915.1,GCA_035926095.1,GCA_047835965.1,GCA_003693515.1,,GCA_900000015.1
Dothistroma septosporum 3,GCA_002236485.2,GCA_002236515.2,GCA_002116355.1,,GCA_024761695.1,GCA_023085475.1,GCA_022288675.1,GCA_902500875.1,GCA_022023675.2
Dothistroma septosporum 4,GCA_002236515.2,GCA_002236545.2,GCA_002116355.1,GCA_026122155.1,GCA_030553285.1,GCA_047835625.1,GCA_003610855.1,GCA_963281095.1,GCA_003287315.1
Dothistroma septosporum 5,GCA_002236545.2,GCA_002236565.2,GCA_002116355.1,GCA_000504365.2,GCA_024761785.1,GCA_047840215.1,GCA_048413515.1,GCA_001855635.1,GCA_023338055.1
Dothistroma septosporum 6,GCA_002236565.2,GCA_002236575.2,GCA_002116355.1,GCA_029230485.1,GCA_030553275.1,GCA_047838035.1,GCA_023015295.1,GCA_000815965.1,GCA_016864665.1
Dothistroma septosporum 7,GCA_002236575.2,GCA_002236585.2,GCA_002116355.1,GCA_019443905.1,GCA_024863865.1,GCA_022609225.1,GCA_032599185.1,GCA_041722695.1,GCA_029452305.1
Dothistroma septosporum 8,GCA_002236585.2,GCA_002236615.2,GCA_002116355.1,GCA_000223805.2,GCA_021028855.1,GCA_028456275.1,GCA_046114455.1,GCA_025531445.1,GCA_037965455.1
Dothistroma septosporum 9,GCA_002236615.2,GCA_002236645.2,GCA_002116355.1,GCA_022836995.1,GCA_003704615.1,GCA_038025055.1,GCA_949124695.1,GCA_027602705.1,GCA_030278985.1
Fusarium circinatum 0,GCA_024047395.1,GCA_000497325.4,GCA_043252985.1,GCA_045529085.1,GCA_022278005.1,GCA_002930425.1,GCA_030581435.1,GCA_027924225.1,GCA_003704535.1
Fusarium circinatum 1,GCA_000497325.4,GCA_000876485.1,GCA_003947045.1,GCA_045528975.1,GCA_030772365.1,GCA_001600455.1,GCA_004917335.1,GCA_021901655.1,GCA_002247145.1
Fusarium circinatum 2,GCA_000876485.1,GCA_002894005.2,GCA_043174905.1,GCA_024115155.1,GCA_018801565.1,GCA_033297235.1,GCA_027569115.1,GCA_040804795.1,GCA_044509515.1
Fusarium circinatum 3,GCA_002894005.2,GCA_013168815.2,GCA_011426355.1,GCA_020975415.1,GCA_030914405.1,GCA_019321695.1,GCA_009684995.1,GCA_038091155.1,GCA_002215365.1
Fusarium circinatum 4,GCA_013168815.2,GCA_013168825.2,GCA_025266885.1,GCA_020975415.1,GCA_018831755.1,GCA_046562335.1,GCA_005546515.1,GCA_019970295.1,GCA_023337615.1
Fusarium circinatum 5,GCA_013168825.2,GCA_013168835.2,GCA_043252445.1,GCA_023015445.1,GCA_030784555.1,GCA_042257785.1,GCA_047150385.1,GCA_029704095.1,GCA_002245715.1
Fusarium circinatum 6,GCA_013168835.2,GCA_013396185.1,GCA_009298845.1,GCA_021019265.1,GCA_022276165.1,GCA_002851755.1,GCA_900290405.1,GCA_027603945.1,GCA_046862035.1
Fusarium circinatum 7,GCA_013396185.1,GCA_018163655.1,GCA_025267595.1,GCA_021019215.1,GCA_030789465.1,GCA_022695765.1,GCA_024678805.1,GCA_040804565.1,GCA_012295175.1
Fusarium circinatum 8,GCA_018163655.1,GCA_019364515.1,GCA_042608555.1,GCA_045528905.1,GCA_022684685.1,GCA_002924785.1,GCA_013265775.1,GCA_013036515.1,GCA_014706135.1
Fusarium circinatum 9,GCA_019364515.1,GCA_019364535.1,GCA_001703085.1,GCA_020740355.1,GCA_019022495.1,GCA_003015475.2,GCA_964300305.1,GCA_037041535.1,GCA_042082275.1
Aspergillus terreus 0,GCA_001630395.1,GCA_002749855.1,GCA_003369625.1,GCA_025999795.1,GCA_009650675.1,GCA_022830775.1,GCA_030869225.1,,GCA_001955675.1
Aspergillus terreus 1,GCA_002749855.1,GCA_002930435.1,GCA_020501905.1,GCA_023627095.1,GCA_011392495.1,GCA_016110225.1,GCA_040803145.1,GCA_910592205.1,GCA_032158355.1
Aspergillus terreus 2,GCA_002930435.1,GCA_009014675.2,GCA_020500815.1,GCA_027569755.1,GCA_003990805.1,GCA_046581125.1,GCA_014325125.1,GCA_044231765.1,GCA_020283525.1
Aspergillus terreus 3,GCA_009014675.2,GCA_009834425.1,GCA_042609005.1,GCA_023141355.1,GCA_027569565.1,GCA_048987505.1,GCA_027406085.1,GCA_033735095.1,GCA_012932265.1
Aspergillus terreus 4,GCA_009834425.1,GCA_009932835.1,GCA_020500595.1,GCA_015586395.1,GCA_009650675.1,GCA_022831025.1,GCA_003435105.1,GCA_011763935.1,GCA_003546805.1
Aspergillus terreus 5,GCA_009932835.1,GCA_015266375.1,GCA_013306195.1,,GCA_000003125.1,GCA_041956615.1,GCA_931302135.1,GCA_040804375.1,GCA_023337575.1
Aspergillus terreus 6,GCA_015266375.1,GCA_015333565.1,GCA_025766005.1,GCA_902712905.1,GCA_023721895.2,GCA_018296045.1,GCA_040805655.1,GCA_027578175.1,GCA_001955675.1
Aspergillus terreus 7,GCA_015333565.1,GCA_016808415.1,GCA_041684415.1,GCA_000769735.1,GCA_030061015.1,GCA_910591785.1,GCA_001746385.1,GCA_026283605.1,GCA_003546625.1
Aspergillus terreus 8,GCA_016808415.1,GCA_023625495.1,GCA_949125185.1,GCA_028828765.1,GCA_002916415.1,GCA_035927125.1,GCA_964256515.1,GCA_027248925.1,GCA_033557915.1
Aspergillus terreus 9,GCA_023625495.1,GCA_023625515.1,GCA_023625195.1,GCA_000576735.1,GCA_043882635.1,GCA_001713645.1,GCA_047669355.1,GCA_040805165.1,GCA_009729435.1
Colletotrichum gloeosporioides 2,GCA_003243855.1,,GCA_020466255.1,,GCA_018440655.1,GCA_012978415.1,GCA_030557975.1,GCA_002150815.3,GCA_021527685.1
Colletotrichum gloeosporioides 5,GCA_011428055.1,GCA_011800055.1,GCA_045682645.1,,GCA_019188255.1,GCA_042258205.1,GCA_037074745.1,GCA_002234625.1,GCA_902712285.1
Colletotrichum gloeosporioides 6,GCA_011800055.1,GCA_011947415.1,GCA_000582985.1,,GCA_018982865.1,GCA_016906485.1,GCA_000317355.2,GCA_023650535.1,GCA_030374165.1
Colletotrichum gloeosporioides 7,GCA_011947415.1,,GCA_011947465.1,,GCA_018982865.1,GCA_017656785.1,GCA_000975615.2,GCA_903470595.1,GCA_023335675.1
Colletotrichum gloeosporioides 9,GCA_019022565.1,GCA_021650765.1,GCA_045682715.1,,GCA_011032905.1,GCA_025215865.1,GCA_009982855.1,GCA_027248965.1,GCA_001278145.1
Rhizopus delemar 0,GCA_000697155.1,GCA_011763585.1,GCA_000697195.1,GCA_025677835.1,GCA_025331425.1,,GCA_016758895.1,GCA_030565715.1,GCA_021527685.1
Rhizopus delemar 1,GCA_011763585.1,GCA_011763605.1,GCA_011951295.2,GCA_025677835.1,GCA_037041495.1,,GCA_000534915.1,GCA_030570515.1,GCA_026401395.1
Rhizopus delemar 2,GCA_011763605.1,GCA_011763695.1,GCA_011763875.1,GCA_025677835.1,GCA_023630325.1,,GCA_910591835.1,GCA_025782865.1,GCA_020226015.1
Rhizopus delemar 3,GCA_011763695.1,GCA_011763715.1,GCA_011801555.2,GCA_025677835.1,GCA_037040325.1,,GCA_025024155.1,GCA_905105065.1,GCA_004137975.1
